original_title,popularity,vote_average,vote_count,Comedy,TV Movie,Family,Science Fiction,Drama,Romance,Action,War,Mystery,Music,Adventure,Crime,Horror,Animation,History,Fantasy,Western,Thriller,Running time,Budget,Box Office,Actors Box Office %,Director Box Office %,Earnings,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,IMDb score,ROI,successo
The Shawshank Redemption,116.038,8.705,26221,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,142,25000000,28000000,0.5,0.5,3000000,7,0,9.3,0.12,0
The Godfather,167.834,8.695,19877,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,175,6000000,250000000,0.5936,0.7272,244000000,10,7,9.2,40.666666666666664,1
Schindler's List,77.039,8.567,15409,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,185,22000000,323000000,0.5333,0.846,301000000,15,13,8.9,13.681818181818182,1
12 Angry Men,76.566,8.541,8276,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,350000,1000000,0.6667000000000001,0.6,650000,6,1,8.9,1.8571428571428572,1
The Dark Knight,95.154,8.515,31978,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,152,185000000,1000000000,0.8665999999999999,1.0,815000000,8,2,9.0,4.405405405405405,1
The Green Mile,88.37,8.5,16851,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,189,60000000,286000000,0.5555,0.5,226000000,4,0,8.5,3.7666666666666666,1
Pulp Fiction,528.384,8.489,27138,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,178,8000000,213000000,0.6667000000000001,1.0,205000000,7,3,8.9,25.625,1
The Lord of the Rings: The Return of the King,125.47,8.48,23439,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,192,94000000,1142000000,0.5555,0.7272,1048000000,18,11,8.9,11.148936170212766,1
Forrest Gump,177.031,8.475,26660,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,142,55000000,683000000,0.5832999999999999,0.615,628000000,13,6,8.8,11.418181818181818,1
Fight Club,297.77,8.441,28572,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,151,63000000,101000000,0.3333,0.8,38000000,1,0,8.8,0.6031746031746031,0
Interstellar,492.112,8.434,34415,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,169,165000000,702000000,0.5158,1.0,537000000,6,1,8.6,3.2545454545454544,1
Psycho,229.245,8.433,9751,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,108,800000,50000000,1.0,0.3333,49200000,4,1,8.5,61.5,1
Once Upon a Time in America,47.043,8.423,5183,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,251,30000000,30000000,0.6667000000000001,0.75,0,4,2,8.4,0.0,0
One Flew Over the Cuckoo's Nest,52.908,8.422,10125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133,4400000,109000000,1.0,0.6667000000000001,104600000,15,10,8.7,23.772727272727273,1
The Lord of the Rings: The Fellowship of the Ring,121.837,8.412,24381,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,171,93000000,887000000,0.6667000000000001,0.7272,794000000,13,4,8.8,8.53763440860215,1
The Lord of the Rings: The Two Towers,84.044,8.395,21191,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,172,94000000,947000000,0.6667000000000001,0.7272,853000000,16,6,8.7,9.074468085106384,1
The Pianist,84.421,8.383,8867,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,150,35000000,120000000,1.0,0.3333,85000000,15,3,8.5,2.4285714285714284,1
Whiplash,243.886,8.381,14640,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,107,3300000,49000000,0.5483,1.0,45700000,9,5,8.5,13.848484848484848,1
Se7en,389.941,8.373,20376,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,127,33000000,327000000,0.9333,0.8,294000000,1,0,8.6,8.909090909090908,1
Inception,500.916,8.368,35768,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,148,160000000,837000000,0.6667000000000001,1.0,677000000,12,4,8.8,4.23125,1
The Silence of the Lambs,13.531,8.3,15787,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,138,19000000,275000000,0.75,0.5,256000000,8,5,8.6,13.473684210526315,1
American History X,84.873,8.346,11239,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,101,7500000,20000000,0.6944,1.0,12500000,2,0,8.6,1.6666666666666667,1
Back to the Future,115.403,8.317,19326,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,116,19000000,389000000,0.5,0.615,370000000,8,1,8.5,19.473684210526315,1
Dead Poets Society,43.334,8.3,10830,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,128,16400000,236000000,0.7822,0.75,219600000,5,1,8.0,13.390243902439025,1
Modern Times,31.718,8.291,3570,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,87,1500000,1700000,0.0,0.0,200000,0,0,8.6,0.13333333333333333,0
Apocalypse Now,83.666,8.283,7929,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,289,31500000,150000000,0.7047,0.7272,118500000,8,2,8.5,3.761904761904762,1
It's a Wonderful Life,38.447,8.271,4134,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,118,3180000,5000000,0.6667000000000001,0.6,1820000,5,5,8.6,0.5723270440251572,0
The Lion King,110.6,8.256,17730,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,73,45000000,986000000,0.3333,1.0,941000000,4,2,8.5,20.91111111111111,1
Inglourious Basterds,152.691,8.218,21675,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,153,75000000,321000000,0.8665999999999999,1.0,246000000,15,1,8.3,3.28,1
The Shining,119.871,8.216,16950,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,146,19000000,47000000,0.8332999999999999,1.0,28000000,0,0,8.4,1.4736842105263157,1
The Matrix,569.07,8.216,24933,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,136,63000000,465000000,0.6667000000000001,0.5,402000000,6,4,8.7,6.380952380952381,1
Gladiator,95.813,8.216,17864,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,171,103000000,460000000,0.75,0.3529,357000000,12,5,8.5,3.466019417475728,1
Saving Private Ryan,91.463,8.214,15330,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,169,70000000,482000000,0.9167000000000001,0.846,412000000,11,5,8.6,5.885714285714286,1
The Help,145.008,8.209,7969,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,146,25000000,217000000,1.0,0.5,192000000,8,4,8.1,7.68,1
The Prestige,233.48,8.203,15500,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,130,40000000,109000000,1.0,1.0,69000000,11,3,8.5,1.725,1
